Gender,Race,count
Male,Middle Eastern,44
Female,Race unspecified,671
Transgender,African-American/Black,3
Female,Asian/Pacific Islander,50
Female,Native American/Alaskan,31
Male,Asian/Pacific Islander,366
Male,HIspanic/Latino,1
Male,Race unspecified,6986
Transexual,African-American/Black,1
Female,Hispanic/Latino,270
Male,Hispanic/Latino,3186
Transgender,Race unspecified,4
Male,Native American/Alaskan,227
Transgender,European-American/White,3
Male,European-American/White,7880
Female,African-American/Black,503
White,European-American/White,1
Male,African-American/Black,5371
Transgender,Hispanic/Latino,5
Female,Middle Eastern,4
Female,European-American/White,1034
